split_seed,model,train_cohort,test_cohort,within_roc_auc,external_roc_auc,roc_auc_change,within_pr_auc,external_pr_auc,pr_auc_change,within_brier_score,external_brier_score,brier_score_change
6,Logistic Regression,Hungary,Cleveland,0.8865248226950355,0.8553693630461485,-0.031155459648886996,0.88142848846714,0.839969525412638,-0.04145896305450192,0.1108721507788577,0.15636783179136493,0.04549568101250723
6,Random Forest,Hungary,Cleveland,0.9148936170212767,0.8703281277417091,-0.044565489279567605,0.9147525473173521,0.8646840109875936,-0.050068536329758495,0.11169856617739368,0.15461367904540493,0.04291511286801125
7,Logistic Regression,Cleveland,Hungary,0.9156794425087109,0.882928542753914,-0.03275089975479695,0.898999961075007,0.8399134569730577,-0.059086504101949266,0.11959905563553482,0.12856219760726165,0.008963141971726832
7,Random Forest,Cleveland,Hungary,0.8878048780487804,0.8945202729827378,0.006715394933957453,0.8819878234121988,0.840471151820916,-0.041516671591282805,0.14222520784970574,0.12581527029335918,-0.016409937556346565
7,Logistic Regression,Hungary,Cleveland,0.9148936170212766,0.8351903842779435,-0.07970323274333313,0.8088357461569704,0.8221300660707598,0.013294319913789376,0.11274454194516392,0.16890606393171081,0.05616152198654689
7,Random Forest,Hungary,Cleveland,0.9338061465721039,0.8578698017195999,-0.075936344852504,0.8725968173591943,0.8537925912852459,-0.018804226073948382,0.10263560675882703,0.15636807295579896,0.05373246619697193
8,Logistic Regression,Cleveland,Hungary,0.862020905923345,0.8885487755921317,0.02652786966878673,0.8772233972961404,0.8377790373142912,-0.03944435998184925,0.1492733575134481,0.12402545758870422,-0.025247899924743897
8,Random Forest,Cleveland,Hungary,0.862020905923345,0.8951726214371739,0.033151715513828894,0.8763349194881709,0.8421301072013414,-0.03420481228682948,0.14850935125328357,0.12702507423837864,-0.021484277014904934
8,Logistic Regression,Hungary,Cleveland,0.9109535066981875,0.855808036497631,-0.05514547020055649,0.8345292694644653,0.8410622556436368,0.006532986179171529,0.11727778652204328,0.15699521668832042,0.03971743016627714
8,Random Forest,Hungary,Cleveland,0.9078014184397163,0.8603263730479032,-0.04747504539181313,0.8569225543360557,0.8611941426640659,0.004271588328010223,0.11856397511901112,0.1551600818784252,0.03659610675941408
9,Logistic Regression,Cleveland,Hungary,0.8041811846689895,0.8878462464873544,0.08366506181836497,0.7803923307862717,0.8474029621110883,0.06701063132481666,0.18390105717215463,0.13482207170894359,-0.049078985463211044
9,Random Forest,Cleveland,Hungary,0.7979094076655052,0.8937173825772783,0.09580797491177306,0.8025838590271531,0.8388968792829976,0.036313020255844486,0.18401051689942494,0.12947832114957633,-0.054532195749848605
9,Logistic Regression,Hungary,Cleveland,0.858944050433412,0.8618617301280925,0.002917679694680486,0.7595951441369337,0.8511911085609974,0.0915959644240637,0.15137179702783926,0.1528863098834336,0.001514512855594341
9,Random Forest,Hungary,Cleveland,0.830575256107171,0.8546236181786278,0.024048362071456775,0.7587988575320772,0.8453188073915597,0.08651994985948253,0.16070066122316864,0.15678662718030975,-0.003914034042858894
10,Logistic Regression,Cleveland,Hungary,0.8627177700348431,0.8911581694098755,0.0284403993750324,0.8718023217527351,0.843889923629337,-0.027912398123398074,0.1477883548007876,0.12755870098465813,-0.020229653816129484
10,Random Forest,Cleveland,Hungary,0.8550522648083624,0.8995885186672018,0.044536253858839414,0.8673669779882507,0.8425867160941884,-0.02478026189406224,0.1579217824886748,0.12526561262168118,-0.03265616986699363
10,Logistic Regression,Hungary,Cleveland,0.9078014184397163,0.8315493946306369,-0.07625202380907936,0.8455298406419574,0.8205746248464281,-0.024955215795529284,0.1152506852858046,0.16956323047361943,0.05431254518781484
10,Random Forest,Hungary,Cleveland,0.9125295508274232,0.8512019652570626,-0.061327585570360554,0.8649127426379952,0.8502368197364361,-0.014675922901559169,0.12052577324668044,0.16068960489139947,0.040163831644719025
11,Logistic Regression,Cleveland,Hungary,0.8132404181184668,0.8802187876354878,0.06697836951702096,0.8062050104371699,0.840304277962573,0.034099267525403154,0.18668349923399666,0.13626618360216308,-0.050417315631833576
11,Random Forest,Cleveland,Hungary,0.8097560975609757,0.8886993175431553,0.07894321998217968,0.7974080244778368,0.825141905115266,0.02773388063742921,0.1828097055549243,0.12899488329153846,-0.053814822263385825
11,Logistic Regression,Hungary,Cleveland,0.8975571315996848,0.8430865064046325,-0.0544706251950523,0.8528750333585935,0.8312058019520276,-0.021669231406565848,0.12636269372409173,0.1639584728628634,0.037595779138771684
